11,1,0.49,0.38,0.12,0.529,0.2165,0.139,0.155
7,1,0.515,0.4,0.125,0.5625,0.25,0.1245,0.17
9,2,0.505,0.385,0.11,0.655,0.3185,0.15,0.185
9,0,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245
8,1,0.435,0.34,0.12,0.396,0.1775,0.081,0.125
13,2,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25
9,0,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825
11,2,0.675,0.51,0.17,1.527,0.809,0.318,0.341
8,0,0.47,0.365,0.12,0.582,0.29,0.092,0.146
9,0,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353
11,1,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26
9,2,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575
7,1,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405
12,1,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3
8,2,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635
11,2,0.7,0.555,0.2,1.858,0.73,0.3665,0.595
10,2,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635
7,1,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065
12,0,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085
9,0,0.56,0.455,0.16,0.967,0.4525,0.207,0.274
7,2,0.515,0.41,0.14,0.7355,0.3065,0.137,0.2
9,0,0.585,0.46,0.17,0.9325,0.365,0.271,0.29
13,0,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25
8,1,0.395,0.32,0.1,0.3075,0.149,0.0535,0.09
9,2,0.48,0.375,0.145,0.777,0.216,0.13,0.17
12,2,0.55,0.41,0.15,0.785,0.282,0.186,0.275
12,0,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265
10,0,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39
10,1,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595
9,0,0.44,0.35,0.125,0.4035,0.175,0.063,0.129
11,0,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363
7,2,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485
9,0,0.61,0.45,0.16,1.136,0.414,0.311,0.3
6,1,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091
12,2,0.72,0.6,0.235,2.2385,0.984,0.411,0.621
5,1,0.235,0.16,0.04,0.048,0.0185,0.018,0.015
10,1,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995
8,1,0.49,0.375,0.125,0.5445,0.279,0.115,0.13
8,0,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29
8,0,0.645,0.49,0.16,1.144,0.5015,0.289,0.319
8,2,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875
7,0,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129
17,0,0.635,0.505,0.185,1.3035,0.501,0.295,0.41
11,1,0.63,0.465,0.15,1.0315,0.4265,0.24,0.325
8,1,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985
17,0,0.49,0.36,0.11,0.5005,0.161,0.107,0.195
17,1,0.65,0.515,0.16,1.1625,0.495,0.203,0.33
10,2,0.45,0.335,0.125,0.349,0.119,0.1055,0.115
8,0,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21
10,2,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485
8,0,0.37,0.275,0.1,0.2225,0.093,0.026,0.08
7,1,0.465,0.355,0.11,0.474,0.23,0.1005,0.12
10,2,0.53,0.43,0.135,0.879,0.28,0.2165,0.25
4,1,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018
12,1,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825
9,2,0.58,0.46,0.15,1.0165,0.491,0.221,0.265
8,1,0.435,0.33,0.105,0.335,0.156,0.0555,0.105
11,0,0.625,0.5,0.16,1.217,0.5725,0.207,0.355
12,2,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215
12,0,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516
10,2,0.57,0.45,0.155,1.1935,0.513,0.21,0.343
15,0,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285
10,0,0.635,0.5,0.18,1.2565,0.539,0.292,0.35
9,2,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145
8,2,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239
15,2,0.64,0.565,0.23,1.521,0.644,0.372,0.406
10,2,0.57,0.44,0.145,0.8815,0.3605,0.1955,0.2735
9,2,0.575,0.455,0.135,0.907,0.4245,0.197,0.26
10,0,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326
10,1,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895
9,0,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32
10,2,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33
8,1,0.455,0.33,0.1,0.372,0.358,0.0775,0.11
10,0,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745
14,1,0.44,0.345,0.12,0.487,0.1965,0.108,0.16
11,2,0.625,0.495,0.175,1.2075,0.531,0.281,0.3525
9,2,0.505,0.395,0.125,0.635,0.29,0.1555,0.175
8,2,0.295,0.23,0.085,0.125,0.042,0.0285,0.043
9,2,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135
6,1,0.385,0.285,0.09,0.248,0.0935,0.066,0.07
8,0,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141
10,0,0.65,0.51,0.185,1.375,0.531,0.384,0.3985
8,1,0.5,0.375,0.12,0.529,0.2235,0.123,0.16
11,0,0.685,0.54,0.16,1.6675,0.833,0.3775,0.475
17,0,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525
9,0,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315
13,2,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2
8,2,0.485,0.39,0.12,0.599,0.251,0.1345,0.169
6,1,0.42,0.31,0.095,0.279,0.1255,0.051,0.088
7,1,0.52,0.395,0.145,0.77,0.424,0.142,0.1895
10,0,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895
11,2,0.57,0.48,0.175,1.185,0.474,0.261,0.38
15,2,0.62,0.495,0.195,1.5145,0.579,0.346,0.5195
8,2,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146
12,2,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425
10,0,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575
6,0,0.335,0.22,0.07,0.17,0.076,0.0365,0.05
13,0,0.605,0.45,0.165,1.2225,0.357,0.202,0.385
12,0,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471
10,2,0.57,0.435,0.17,0.873,0.382,0.183,0.2705
8,2,0.565,0.445,0.15,0.796,0.3635,0.184,0.219
6,1,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038
11,0,0.645,0.5,0.2,1.4285,0.639,0.305,0.36
9,2,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289
12,2,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365
9,2,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865
7,2,0.335,0.265,0.105,0.222,0.0935,0.056,0.075
8,2,0.55,0.385,0.13,0.7275,0.343,0.1625,0.19
14,0,0.57,0.495,0.16,1.0915,0.452,0.275,0.315
7,1,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105
8,2,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17
16,1,0.45,0.35,0.14,0.474,0.21,0.109,0.1275
9,1,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168
12,0,0.63,0.48,0.15,1.0525,0.392,0.336,0.285
14,0,0.7,0.575,0.17,1.31,0.5095,0.314,0.42
8,2,0.63,0.48,0.165,1.286,0.604,0.271,0.35
11,0,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468
9,0,0.57,0.44,0.19,1.018,0.447,0.207,0.265
10,1,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615
10,2,0.575,0.435,0.135,0.992,0.432,0.2225,0.239
11,0,0.675,0.51,0.15,1.1965,0.475,0.304,0.386
8,1,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1
17,2,0.665,0.54,0.175,1.347,0.4955,0.254,0.415
13,0,0.705,0.545,0.18,1.5395,0.6075,0.3675,0.4645
12,0,0.65,0.5,0.165,1.1445,0.485,0.218,0.365
11,2,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545
13,2,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415
3,1,0.13,0.1,0.03,0.013,0.0045,0.003,0.004
8,0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221
10,0,0.625,0.485,0.15,1.0945,0.531,0.261,0.296
8,1,0.43,0.315,0.095,0.378,0.175,0.08,0.1045
13,2,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511
10,1,0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215
13,0,0.51,0.38,0.13,0.584,0.224,0.1355,0.185
11,0,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185
9,0,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925
7,2,0.385,0.295,0.095,0.335,0.147,0.094,0.09
10,0,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155
13,0,0.62,0.5,0.175,1.146,0.477,0.23,0.39
12,1,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096
12,0,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293
7,1,0.445,0.325,0.1,0.378,0.1795,0.1,0.089
4,2,0.325,0.23,0.09,0.147,0.06,0.034,0.045
7,1,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123
17,0,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515
14,2,0.76,0.575,0.19,1.829,0.7035,0.386,0.56
8,2,0.41,0.335,0.115,0.4405,0.19,0.085,0.135
9,2,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485
10,2,0.43,0.35,0.11,0.406,0.1675,0.081,0.135
4,1,0.205,0.15,0.065,0.04,0.02,0.011,0.013
8,1,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109
11,0,0.65,0.505,0.165,1.357,0.5725,0.281,0.43
10,0,0.595,0.48,0.15,1.11,0.498,0.228,0.33
9,0,0.575,0.445,0.14,0.941,0.3845,0.252,0.285
7,0,0.475,0.365,0.115,0.566,0.281,0.117,0.1335
10,2,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745
7,1,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126
8,1,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132
9,2,0.465,0.36,0.105,0.431,0.172,0.107,0.175
10,2,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335
9,0,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835
15,2,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135
13,1,0.52,0.4,0.145,0.66,0.267,0.1055,0.22
11,1,0.53,0.42,0.13,0.8365,0.3745,0.167,0.249
13,2,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505
